year_th,month,ex_glutinous,ex_white,ex_hommali,ex_pathum,ex_colored,date
2554,04,15067.704,713095.072,148512.576,16001.646999999999,0,2011-04-01
2554,05,27201.990999999998,1022531.433,224262.03,29452.101,0,2011-05-01
2554,06,30365.648,827063.1359999999,209477.362,31142.888,0,2011-06-01
2554,07,31829.837,667602.793,244813.151,23997.257,0,2011-07-01
2554,08,15939.886,761536.7289999999,215630.123,19596.983,0,2011-08-01
2554,09,16318.008,455196.713,212008.503,12657.233,0,2011-09-01
2554,10,14045.145,524567.79,170255.978,9241.648000000001,0,2011-10-01
2554,11,25955.253,424281.325,199981.313,11220.462,0,2011-11-01
2554,12,28891.323,257477.69,202732.219,7299.574,0,2011-12-01
2555,01,16587.302,274358.239,141370.136,8018.606,0,2012-01-01
2555,02,13178.188,421180.172,167557.255,6965.024,0,2012-02-01
2555,03,19706.065,280549.637,128175.673,7639.115,0,2012-03-01
2555,04,17713.351,367121.283,119379.018,6502.8099999999995,0,2012-04-01
2555,05,20941.216,613708.555,140030.564,10176.052,0,2012-05-01
2555,06,20029.615999999998,260007.734,143488.419,4792.4039999999995,0,2012-06-01
2555,07,21382.88,416399.156,153929.302,6919.576,0,2012-07-01
2555,08,13604.857,365320.608,135245.183,7580.626,0,2012-08-01
2555,09,18132.93,177482.988,193775.016,5016.7,0,2012-09-01
2555,10,14875.731,595831.314,252005.994,8501.565,0,2012-10-01
2555,11,23465.881,451335.43,181106.698,7820.4619999999995,0,2012-11-01
2555,12,26578.615,286649.221,156593.724,5695.977,0,2012-12-01
2556,01,17514.311,371926.779,186891.117,4150.2880000000005,0,2013-01-01
2556,02,22151.435,257469.229,142417.355,3571.324,0,2013-02-01
2556,03,35216.506,338925.043,150241.603,5869.421,0,2013-03-01
2556,04,34596.383,282297.73,123626.23,4233.057,0,2013-04-01
2556,05,24063.115999999998,312379.188,185861.595,4551.647,0,2013-05-01
2556,06,18825.46,270266.284,134282.319,3683.712,0,2013-06-01
2556,07,10847.734,489373.99,171025.997,3815.9610000000002,0,2013-07-01
2556,08,28390.611,324165.633,165135.161,4262.916,0,2013-08-01
2556,09,29564.194,360256.879,107333.797,4482.277,0,2013-09-01
2556,10,46908.448,567855.074,142983.116,4446.918,0,2013-10-01
2556,11,31980.166,295031.581,189451.477,3237.788,0,2013-11-01
2556,12,26776.253,447379.795,212456.633,5378.845,0,2013-12-01
2557,01,40310.879,461064.639,190452.59100000001,4729.635,0,2014-01-01
2557,02,28124.469,514238.429,157529.293,9940.82,0,2014-02-01
2557,03,25307.52,611440.756,158506.47,4279.542,0,2014-03-01
2557,04,18251.246,587441.824,126190.246,5764.646,0,2014-04-01
2557,05,37115.44,706181.24,128107.871,9807.15,0,2014-05-01
2557,06,19800.629,656187.395,146780.096,31806.449,0,2014-06-01
2557,07,21826.519,776868.196,133009.525,9987.062,0,2014-07-01
2557,08,24520.018,780776.947,152864.557,16861.138,0,2014-08-01
2557,09,14462.766,816453.556,113178.73300000001,15948.283,0,2014-09-01
2557,10,31735.435,934460.574,226692.861,21212.463,0,2014-10-01
2557,11,34579.622,533833.375,139581.933,13960.231,0,2014-11-01
2557,12,38049.156,1225569.365,196778.703,16773.954,0,2014-12-01
2558,01,18093.208,437660.565,138864.594,13885.241,0,2015-01-01
2558,02,15662.807999999999,553317.079,154477.112,8694.201,0,2015-02-01
2558,03,28019.51,559858.984,191169.892,6843.257,0,2015-03-01
2558,04,23234.52,492575.646,177488.429,6712.355,0,2015-04-01
2558,05,43747.507,691827.378,201426.87900000002,8595.306,0,2015-05-01
2558,06,28235.067,508457.712,133030.819,16044.324,0,2015-06-01
2558,07,16838.454999999998,574821.476,134857.039,8430.424,0,2015-07-01
2558,08,12163.876,528660.87,149975.171,6120.256,0,2015-08-01
2558,09,15808.344000000001,578050.201,116420.837,10274.431999999999,0,2015-09-01
2558,10,19522.9,994381.996,181492.087,8414.126,0,2015-10-01
2558,11,16513.926,580289.921,154569.348,12044.706,0,2015-11-01
2558,12,26592.384,919816.785,253459.55,18339.135,0,2015-12-01
2559,01,27500.91,793111.536,192176.974,17517.873,0,2016-01-01
2559,02,28014.803,585513.049,207428.227,15975.61,0,2016-02-01
2559,03,24313.553,728064.138,229747.192,9255.831,0,2016-03-01
2559,04,27333.262,485372.133,184185.472,8061.382,0,2016-04-01
2559,05,26156.64,492948.074,198697.55299999999,11093.448,0,2016-05-01
2559,06,13901.63,501568.123,197382.018,6027.831,0,2016-06-01
2559,07,18499.111,290603.336,129667.28,6332.571,0,2016-07-01
2559,08,22914.957,414346.991,182511.591,9826.657,0,2016-08-01
2559,09,15709.171,601948.491,158208.518,11339.698,0,2016-09-01
2559,10,17417.165,678629.132,148491.775,6965.987,0,2016-10-01
2559,11,51111.941,745987.486,202900.869,11869.53,0,2016-11-01
2559,12,64400.516,752924.6630000001,336287.581,17625.612,0,2016-12-01
2560,01,25123.977,578958.876,204350.865,14444.332,1023.649,2017-01-01
2560,02,22052.434,645784.991,223983.923,22079.853,1135.137,2017-02-01
2560,03,18223.829,690500.54,227005.973,22954.234,1030.946,2017-03-01
2560,04,10695.654,711105.626,159566.028,55943.544,847.584,2017-04-01
2560,05,25893.09,526281.184,185410.57,18907.259,1307.234,2017-05-01
2560,06,21985.898,802061.126,190625.143,23530.146,1073.82,2017-06-01
2560,07,22040.420000000002,667163.006,272981.941,23786.041,1047.265,2017-07-01
2560,08,16036.098,742540.762,166259.897,60044.304000000004,1061.285,2017-08-01
2560,09,11212.53,710631.831,107586.145,33004.755,912.21,2017-09-01
2560,10,21386.185,564068.948,126828.346,40991.126000000004,818.2520000000001,2017-10-01
2560,11,31365.123,1189580.974,223319.761,48606.068,951.47,2017-11-01
2560,12,30121.525,882391.515,220870.568,21918.194,917.353,2017-12-01
2561,01,35215.945,771309.821,146798.111,17718.05,1016.707,2018-01-01
2561,02,27498.245,739348.279,147448.34,37580.012,1154.641,2018-02-01
2561,03,21465.518,689367.792,154645.83299999998,16035.110999999999,1044.736,2018-03-01
2561,04,12442.269,690736.678,134394.682,69087.891,1076.539,2018-04-01
2561,05,16862.256,617785.811,123203.516,17525.773,958.976,2018-05-01
2561,06,14810.489,731782.721,144833.237,35276.752,1069.074,2018-06-01
2561,07,10475.574,683987.346,98739.77,44062.106999999996,919.355,2018-07-01
2561,08,18087.461,839139.205,116539.473,37279.454,1020.18,2018-08-01
2561,09,14940.471,828871.479,106363.861,32851.803,810.717,2018-09-01
2561,10,12099.09,733644.398,143585.10199999998,47981.639,915.375,2018-10-01
2561,11,15595.964,769967.622,178424.854,63152.828,672.799,2018-11-01
2561,12,24484.535,780782.199,170680.889,35863.672,743.241,2018-12-01
2562,01,19819.785,744352.478,137195.098,49304.211,1078.858,2019-01-01
2562,02,11348.046,494469.413,135819.407,44574.145000000004,1361.125,2019-02-01
2562,03,14361.082,588607.841,127430.751,38313.572,1155.506,2019-03-01
2562,04,14557.907,534269.356,96758.274,56336.313,1004.874,2019-04-01
2562,05,15855.915,482626.24,130374.971,37687.856,730.965,2019-05-01
2562,06,10843.946,439952.783,95607.674,31007.748,746.47,2019-06-01
2562,07,7692.439,394990.879,106111.015,39387.397,532.37,2019-07-01
2562,08,5470.075,283164.488,105461.622,53798.721,580.804,2019-08-01
2562,09,3753.291,429410.549,102659.044,40384.339,466.939,2019-09-01
2562,10,4615.151,450418.955,95889.8,55231.466,762.916,2019-10-01
2562,11,10173.654,391762.697,139231.691,35749.226,778.133,2019-11-01
2562,12,12112.88,280986.066,138271.771,32232.506,878.974,2019-12-01
